Temperature Log
Date, Temperature, Humidity
Feb 5, 2025 at 3:30 PM : 25.4°C, 9
Feb 5, 2025 at 4:00 PM : 23.8°C, 10
Feb 5, 2025 at 4:30 PM : 24.3°C, 10
Feb 5, 2025 at 5:00 PM : 24.8°C, 10
Feb 5, 2025 at 5:30 PM : 24.8°C, 10
Feb 5, 2025 at 6:00 PM : 25°C, 10
Feb 5, 2025 at 6:30 PM : 25°C, 10
Feb 5, 2025 at 7:00 PM : 25°C, 10
Feb 5, 2025 at 7:30 PM : 25°C, 10
Feb 5, 2025 at 8:00 PM : 24.5°C, 11
Feb 5, 2025 at 8:30 PM : 23.7°C, 12
Feb 5, 2025 at 9:00 PM : 23.6°C, 12
Feb 5, 2025 at 9:30 PM : 24°C, 11
Feb 5, 2025 at 10:00 PM : 24.2°C, 12
Feb 5, 2025 at 10:30 PM : 24.4°C, 12
Feb 5, 2025 at 11:00 PM : 24.5°C, 12
Feb 5, 2025 at 11:30 PM : 24.7°C, 12
Feb 6, 2025 at 12:00 AM : 24.9°C, 13
Feb 6, 2025 at 12:30 AM : 25.2°C, 13
Feb 6, 2025 at 1:00 AM : 25.2°C, 13
Feb 6, 2025 at 1:30 AM : 25.2°C, 13
Feb 6, 2025 at 2:00 AM : 25.3°C, 13
Feb 6, 2025 at 2:30 AM : 25.3°C, 14
Feb 6, 2025 at 3:00 AM : 25.3°C, 14
Feb 6, 2025 at 3:30 AM : 25.3°C, 14
Feb 6, 2025 at 4:00 AM : 25.2°C, 14
Feb 6, 2025 at 4:30 AM : 25.2°C, 14
Feb 6, 2025 at 5:00 AM : 25.2°C, 14
Feb 6, 2025 at 5:30 AM : 25.2°C, 14
Feb 6, 2025 at 6:00 AM : 25.2°C, 14
Feb 6, 2025 at 6:30 AM : 25.2°C, 14
Feb 6, 2025 at 7:00 AM : 25.2°C, 14
Feb 6, 2025 at 7:30 AM : 25.2°C, 14
Feb 6, 2025 at 8:00 AM : 25.3°C, 14
Feb 6, 2025 at 8:30 AM : 25.5°C, 15
Feb 6, 2025 at 9:00 AM : 25.4°C, 15
Feb 6, 2025 at 9:30 AM : 25.1°C, 15
Feb 6, 2025 at 10:00 AM : 24.8°C, 16
Feb 6, 2025 at 10:30 AM : 24.7°C, 17
Feb 6, 2025 at 11:00 AM : 24.6°C, 17
Feb 6, 2025 at 11:30 AM : 24.6°C, 17
Feb 6, 2025 at 12:00 PM : 24.7°C, 17
Feb 6, 2025 at 12:30 PM : 24.8°C, 17
Feb 6, 2025 at 1:00 PM : 24.8°C, 17
Feb 6, 2025 at 1:30 PM : 25°C, 17
Feb 6, 2025 at 2:00 PM : 25.1°C, 17
Feb 6, 2025 at 2:30 PM : 25.2°C, 17
Feb 6, 2025 at 3:00 PM : 25.3°C, 17
Feb 6, 2025 at 3:30 PM : 25.4°C, 17
Feb 6, 2025 at 4:00 PM : 25.6°C, 18
Feb 6, 2025 at 4:30 PM : 25.6°C, 18
Feb 6, 2025 at 5:00 PM : 25.5°C, 18
Feb 6, 2025 at 5:30 PM : 25.6°C, 18
Feb 6, 2025 at 6:00 PM : 25.2°C, 18
Feb 6, 2025 at 6:30 PM : 25.3°C, 19
Feb 6, 2025 at 7:00 PM : 24.8°C, 20
Feb 6, 2025 at 7:30 PM : 24.4°C, 21
Feb 6, 2025 at 8:00 PM : 24.7°C, 20
Feb 6, 2025 at 8:30 PM : 25.1°C, 20
Feb 6, 2025 at 9:00 PM : 25.5°C, 20
Feb 6, 2025 at 9:30 PM : 25.6°C, 19
Feb 6, 2025 at 10:00 PM : 24.5°C, 19
Feb 6, 2025 at 10:30 PM : 24.7°C, 19
Feb 6, 2025 at 11:00 PM : 24.9°C, 19
Feb 6, 2025 at 11:30 PM : 25.1°C, 19
Feb 7, 2025 at 12:00 AM : 25.6°C, 19
Feb 7, 2025 at 12:30 AM : 25.4°C, 19
Feb 7, 2025 at 1:00 AM : 25°C, 20
Feb 7, 2025 at 1:30 AM : 24.6°C, 21
Feb 7, 2025 at 2:00 AM : 24.5°C, 21
Feb 7, 2025 at 2:30 AM : 24.6°C, 21
Feb 7, 2025 at 3:00 AM : 24.6°C, 21
Feb 7, 2025 at 3:30 AM : 24.7°C, 22
Feb 7, 2025 at 4:00 AM : 24.7°C, 22
Feb 7, 2025 at 4:30 AM : 23.8°C, 23
Feb 7, 2025 at 5:00 AM : 23.6°C, 23
Feb 7, 2025 at 5:30 AM : 23.3°C, 24
Feb 7, 2025 at 6:00 AM : 22.7°C, 25
Feb 7, 2025 at 6:30 AM : 22.7°C, 24
Feb 7, 2025 at 7:00 AM : 23°C, 23
Feb 7, 2025 at 7:30 AM : 22.5°C, 22
Feb 7, 2025 at 8:00 AM : 22.8°C, 21
Feb 7, 2025 at 8:30 AM : 22.4°C, 21
Feb 7, 2025 at 9:00 AM : 22.8°C, 20
Feb 7, 2025 at 9:30 AM : 22.9°C, 19
Feb 7, 2025 at 10:00 AM : 22.9°C, 18
Feb 7, 2025 at 10:30 AM : 22.8°C, 17
Feb 7, 2025 at 11:00 AM : 22.9°C, 17
Feb 7, 2025 at 11:30 AM : 23.5°C, 17
Feb 7, 2025 at 12:00 PM : 23.8°C, 18
Feb 7, 2025 at 12:30 PM : 23.5°C, 15
Feb 7, 2025 at 1:00 PM : 23.6°C, 13
Feb 7, 2025 at 1:30 PM : 23.5°C, 13
Feb 7, 2025 at 2:00 PM : 23.9°C, 13
Feb 7, 2025 at 2:30 PM : 23.6°C, 13
Feb 7, 2025 at 3:00 PM : 23.5°C, 13
Feb 7, 2025 at 3:30 PM : 23.2°C, 12
Feb 7, 2025 at 4:00 PM : 22.4°C, 13
Feb 7, 2025 at 4:30 PM : 22.5°C, 13
Feb 7, 2025 at 5:00 PM : 22.7°C, 12
Feb 7, 2025 at 5:30 PM : 22.9°C, 12
Feb 7, 2025 at 6:00 PM : 23.1°C, 12
Feb 7, 2025 at 6:30 PM : 22.9°C, 13
Feb 7, 2025 at 7:00 PM : 22.4°C, 15
Feb 7, 2025 at 7:30 PM : 22.5°C, 15
Feb 7, 2025 at 8:00 PM : 22.8°C, 15
Feb 7, 2025 at 8:30 PM : 23.3°C, 14
Feb 7, 2025 at 9:00 PM : 23.8°C, 14
Feb 7, 2025 at 9:30 PM : 23.8°C, 14
Feb 7, 2025 at 10:00 PM : 24.2°C, 14
Feb 7, 2025 at 10:30 PM : 24.8°C, 14
Feb 7, 2025 at 11:00 PM : 25.4°C, 14
Feb 7, 2025 at 11:30 PM : 25.8°C, 13
Feb 8, 2025 at 12:00 AM : 25.8°C, 12
Feb 8, 2025 at 12:30 AM : 25.1°C, 12
Feb 8, 2025 at 1:00 AM : 24.7°C, 12
Feb 8, 2025 at 1:30 AM : 24.4°C, 13
Feb 8, 2025 at 2:00 AM : 24.3°C, 13
Feb 8, 2025 at 2:30 AM : 24.4°C, 13
Feb 8, 2025 at 3:00 AM : 24.3°C, 13
Feb 8, 2025 at 3:30 AM : 24.3°C, 13
Feb 8, 2025 at 4:00 AM : 24.2°C, 13
Feb 8, 2025 at 4:30 AM : 24.2°C, 13
Feb 8, 2025 at 5:00 AM : 24.1°C, 13
Feb 8, 2025 at 5:30 AM : 24°C, 13
Feb 8, 2025 at 6:00 AM : 23.9°C, 14
Feb 8, 2025 at 6:30 AM : 23.7°C, 14
Feb 8, 2025 at 7:00 AM : 23.6°C, 14
Feb 8, 2025 at 7:30 AM : 23.6°C, 14
Feb 8, 2025 at 8:00 AM : 23.6°C, 14
Feb 8, 2025 at 8:30 AM : 23.3°C, 14
Feb 8, 2025 at 9:00 AM : 23.1°C, 14
Feb 8, 2025 at 9:30 AM : 23°C, 14
Feb 8, 2025 at 10:00 AM : 23°C, 13
Feb 8, 2025 at 10:30 AM : 23.1°C, 13
Feb 8, 2025 at 11:00 AM : 23.2°C, 13
Feb 8, 2025 at 11:30 AM : 23.4°C, 13
Feb 8, 2025 at 12:00 PM : 23.8°C, 12
Feb 8, 2025 at 12:30 PM : 24.1°C, 12
Feb 8, 2025 at 1:00 PM : 24.5°C, 12
Feb 8, 2025 at 1:30 PM : 24.9°C, 13
Feb 8, 2025 at 2:00 PM : 25.2°C, 14
Feb 8, 2025 at 2:30 PM : 25.1°C, 11
Feb 8, 2025 at 3:00 PM : 25°C, 11
Feb 8, 2025 at 3:30 PM : 24.6°C, 12
Feb 8, 2025 at 4:00 PM : 24°C, 12
Feb 8, 2025 at 4:30 PM : 23.9°C, 11
Feb 8, 2025 at 5:00 PM : 23.8°C, 12
Feb 8, 2025 at 5:30 PM : 23.6°C, 12
Feb 8, 2025 at 6:00 PM : 23.3°C, 12
Feb 8, 2025 at 6:30 PM : 22.7°C, 13
Feb 8, 2025 at 7:00 PM : 22.3°C, 14
Feb 8, 2025 at 7:30 PM : 22.5°C, 15
Feb 8, 2025 at 8:00 PM : 23.4°C, 14
Feb 8, 2025 at 8:30 PM : 23.1°C, 15
Feb 8, 2025 at 9:00 PM : 23.6°C, 15
Feb 8, 2025 at 9:30 PM : 24.4°C, 15
Feb 8, 2025 at 10:00 PM : 25.3°C, 14
Feb 8, 2025 at 10:30 PM : 25.9°C, 14
Feb 8, 2025 at 11:00 PM : 26.3°C, 15
Feb 8, 2025 at 11:30 PM : 26.6°C, 15
Feb 9, 2025 at 12:00 AM : 26.7°C, 15
Feb 9, 2025 at 12:30 AM : 26.9°C, 15
Feb 9, 2025 at 1:00 AM : 26.5°C, 15
Feb 9, 2025 at 1:30 AM : 25.7°C, 15
Feb 9, 2025 at 2:00 AM : 24.6°C, 16
Feb 9, 2025 at 2:30 AM : 24.1°C, 17
Feb 9, 2025 at 3:00 AM : 24.1°C, 17
Feb 9, 2025 at 3:30 AM : 23.8°C, 18
Feb 9, 2025 at 4:00 AM : 23.7°C, 18
Feb 9, 2025 at 4:30 AM : 23.7°C, 18
Feb 9, 2025 at 5:00 AM : 23.5°C, 18
Feb 9, 2025 at 5:30 AM : 23.6°C, 18
Feb 9, 2025 at 6:00 AM : 23.6°C, 19
Feb 9, 2025 at 6:30 AM : 23.6°C, 18
Feb 9, 2025 at 7:00 AM : 23.9°C, 18
Feb 9, 2025 at 7:30 AM : 24°C, 18
Feb 9, 2025 at 8:00 AM : 24°C, 18
Feb 9, 2025 at 8:30 AM : 23.7°C, 17
Feb 9, 2025 at 9:00 AM : 23.3°C, 17
Feb 9, 2025 at 9:30 AM : 23°C, 17
Feb 9, 2025 at 10:00 AM : 22.7°C, 17
Feb 9, 2025 at 10:30 AM : 22.6°C, 17
Feb 9, 2025 at 11:00 AM : 22.6°C, 18
Feb 9, 2025 at 11:30 AM : 20.7°C, 18
Feb 9, 2025 at 12:00 PM : 18.4°C, 17
Feb 9, 2025 at 12:30 PM : 18.3°C, 18
Feb 9, 2025 at 1:00 PM : 20°C, 19
Feb 9, 2025 at 1:30 PM : 21.9°C, 19
Feb 9, 2025 at 2:00 PM : 22.7°C, 18
Feb 9, 2025 at 2:30 PM : 23.4°C, 18
Feb 9, 2025 at 3:00 PM : 23.5°C, 18
Feb 9, 2025 at 3:30 PM : 23.7°C, 17
Feb 9, 2025 at 4:00 PM : 23.5°C, 17
Feb 9, 2025 at 4:30 PM : 23.3°C, 17
Feb 9, 2025 at 5:00 PM : 24.1°C, 18
Feb 9, 2025 at 5:30 PM : 24.5°C, 18
Feb 9, 2025 at 6:00 PM : 24.9°C, 17
Feb 9, 2025 at 6:30 PM : 24°C, 17
Feb 9, 2025 at 7:00 PM : 22.8°C, 18
Feb 9, 2025 at 7:30 PM : 21.8°C, 20
Feb 9, 2025 at 8:00 PM : 22.2°C, 21
Feb 9, 2025 at 8:30 PM : 22.9°C, 20
Feb 9, 2025 at 9:00 PM : 23.8°C, 19
Feb 9, 2025 at 9:30 PM : 24.7°C, 18
Feb 9, 2025 at 10:00 PM : 25.2°C, 18
Feb 9, 2025 at 10:30 PM : 25.4°C, 17
Feb 9, 2025 at 11:00 PM : 25.2°C, 16
Feb 9, 2025 at 11:30 PM : 24.7°C, 16
Feb 10, 2025 at 12:00 AM : 24.1°C, 16
Feb 10, 2025 at 12:30 AM : 23.6°C, 16
Feb 10, 2025 at 1:00 AM : 23.3°C, 16
Feb 10, 2025 at 1:30 AM : 23°C, 16
Feb 10, 2025 at 2:00 AM : 22.9°C, 16
Feb 10, 2025 at 2:30 AM : 22.8°C, 16
Feb 10, 2025 at 3:00 AM : 22.8°C, 16
Feb 10, 2025 at 3:30 AM : 22.7°C, 16
Feb 10, 2025 at 4:00 AM : 22.7°C, 17
Feb 10, 2025 at 4:30 AM : 22.3°C, 17
Feb 10, 2025 at 5:00 AM : 22.3°C, 17
Feb 10, 2025 at 5:30 AM : 22.2°C, 17
Feb 10, 2025 at 6:00 AM : 22.1°C, 17
Feb 10, 2025 at 6:30 AM : 21.9°C, 17
Feb 10, 2025 at 7:00 AM : 22°C, 17
Feb 10, 2025 at 7:30 AM : 22°C, 17
Feb 10, 2025 at 8:00 AM : 22.2°C, 17
Feb 10, 2025 at 8:30 AM : 22.1°C, 17
Feb 10, 2025 at 9:00 AM : 21.9°C, 17
Feb 10, 2025 at 9:30 AM : 21.9°C, 17
Feb 10, 2025 at 10:00 AM : 21.9°C, 17
Feb 10, 2025 at 10:30 AM : 22.3°C, 17
Feb 10, 2025 at 11:00 AM : 22.4°C, 16
Feb 10, 2025 at 11:30 AM : 23°C, 15
Feb 10, 2025 at 12:00 PM : 23.1°C, 15
Feb 10, 2025 at 12:30 PM : 23.6°C, 15
Feb 10, 2025 at 1:00 PM : 24.2°C, 15
Feb 10, 2025 at 1:30 PM : 24.5°C, 15
Feb 10, 2025 at 2:00 PM : 24.4°C, 15
Feb 10, 2025 at 2:30 PM : 24.1°C, 15
Feb 10, 2025 at 3:00 PM : 23.8°C, 14
Feb 10, 2025 at 3:30 PM : 23.7°C, 14
Feb 10, 2025 at 4:00 PM : 23.1°C, 13
Feb 10, 2025 at 4:30 PM : 22.7°C, 13
Feb 10, 2025 at 5:00 PM : 22.7°C, 13
Feb 10, 2025 at 5:30 PM : 22.7°C, 13
Feb 10, 2025 at 6:00 PM : 22.6°C, 13
Feb 10, 2025 at 6:30 PM : 22.4°C, 13
Feb 10, 2025 at 7:00 PM : 22.4°C, 13
Feb 10, 2025 at 7:30 PM : 22.4°C, 13
Feb 10, 2025 at 8:00 PM : 22.2°C, 12
Feb 10, 2025 at 8:30 PM : 22.2°C, 13
Feb 10, 2025 at 9:00 PM : 22.1°C, 13
Feb 10, 2025 at 9:30 PM : 22°C, 13
Feb 10, 2025 at 10:00 PM : 22.1°C, 13
Feb 10, 2025 at 10:30 PM : 22.4°C, 14
Feb 10, 2025 at 11:00 PM : 22.9°C, 14
Feb 10, 2025 at 11:30 PM : 23.3°C, 14
Feb 11, 2025 at 12:00 AM : 23.3°C, 13
Feb 11, 2025 at 12:30 AM : 23.4°C, 13
Feb 11, 2025 at 1:00 AM : 23.2°C, 13
Feb 11, 2025 at 1:30 AM : 23°C, 13
Feb 11, 2025 at 2:00 AM : 22.6°C, 13
Feb 11, 2025 at 2:30 AM : 22.7°C, 13
Feb 11, 2025 at 3:00 AM : 22.6°C, 13
Feb 11, 2025 at 3:30 AM : 22.5°C, 14
Feb 11, 2025 at 4:00 AM : 22.3°C, 14
Feb 11, 2025 at 4:30 AM : 22.2°C, 14
Feb 11, 2025 at 5:00 AM : 22°C, 14
Feb 11, 2025 at 5:30 AM : 21.7°C, 14
Feb 11, 2025 at 6:00 AM : 21.6°C, 14
Feb 11, 2025 at 6:30 AM : 21.2°C, 14
Feb 11, 2025 at 7:00 AM : 21°C, 13
Feb 11, 2025 at 7:30 AM : 20.9°C, 13
Feb 11, 2025 at 8:00 AM : 20.8°C, 13
Feb 11, 2025 at 8:30 AM : 20.9°C, 13
Feb 11, 2025 at 9:00 AM : 20.7°C, 13
Feb 11, 2025 at 9:30 AM : 20.6°C, 13
Feb 11, 2025 at 10:00 AM : 20.7°C, 13
Feb 11, 2025 at 10:30 AM : 20.9°C, 14
Feb 11, 2025 at 11:00 AM : 21.6°C, 14
Feb 11, 2025 at 11:30 AM : 22.4°C, 14
Feb 11, 2025 at 12:00 PM : 22.3°C, 13
Feb 11, 2025 at 12:30 PM : 22.8°C, 14
Feb 11, 2025 at 1:00 PM : 23.1°C, 13
Feb 11, 2025 at 1:30 PM : 23.2°C, 13
Feb 11, 2025 at 2:00 PM : 23.5°C, 13
Feb 11, 2025 at 2:30 PM : 24°C, 13
Feb 11, 2025 at 3:00 PM : 23.7°C, 13
Feb 11, 2025 at 3:30 PM : 23.7°C, 12
Feb 11, 2025 at 4:00 PM : 23.4°C, 12
Feb 11, 2025 at 4:30 PM : 22.9°C, 12
Feb 11, 2025 at 5:00 PM : 22.6°C, 12
Feb 11, 2025 at 5:30 PM : 22.4°C, 12
Feb 11, 2025 at 6:00 PM : 22.2°C, 12
Feb 11, 2025 at 6:30 PM : 22.1°C, 12
Feb 11, 2025 at 7:00 PM : 22.1°C, 13
Feb 11, 2025 at 7:30 PM : 22.1°C, 12
Feb 11, 2025 at 8:00 PM : 22°C, 12
Feb 11, 2025 at 8:30 PM : 22°C, 13
Feb 11, 2025 at 9:00 PM : 21.9°C, 13
Feb 11, 2025 at 9:30 PM : 22°C, 13
Feb 11, 2025 at 10:00 PM : 22°C, 13
Feb 11, 2025 at 10:30 PM : 21.9°C, 13
Feb 11, 2025 at 11:00 PM : 22.1°C, 13
Feb 11, 2025 at 11:30 PM : 22.4°C, 13
Feb 12, 2025 at 12:00 AM : 22.5°C, 14
Feb 12, 2025 at 12:30 AM : 22.7°C, 14
Feb 12, 2025 at 1:00 AM : 22.9°C, 15
Feb 12, 2025 at 1:30 AM : 23°C, 15
Feb 12, 2025 at 2:00 AM : 23.1°C, 15
Feb 12, 2025 at 2:30 AM : 23.3°C, 15
Feb 12, 2025 at 3:00 AM : 23.7°C, 15
Feb 12, 2025 at 3:30 AM : 24.2°C, 14
Feb 12, 2025 at 4:00 AM : 24.5°C, 14
Feb 12, 2025 at 4:30 AM : 24.6°C, 14
Feb 12, 2025 at 5:00 AM : 24.7°C, 15
Feb 12, 2025 at 5:30 AM : 24.7°C, 15
Feb 12, 2025 at 6:00 AM : 24.7°C, 14
Feb 12, 2025 at 6:30 AM : 24.7°C, 14
Feb 12, 2025 at 7:00 AM : 24.7°C, 14
Feb 12, 2025 at 7:30 AM : 24.7°C, 14
Feb 12, 2025 at 8:00 AM : 24.7°C, 15
Feb 12, 2025 at 8:30 AM : 24.7°C, 14
Feb 12, 2025 at 9:00 AM : 24.4°C, 15
Feb 12, 2025 at 9:30 AM : 24.4°C, 15
Feb 12, 2025 at 10:00 AM : 24.4°C, 15
Feb 12, 2025 at 10:30 AM : 24.3°C, 16
Feb 12, 2025 at 11:00 AM : 24.3°C, 16
Feb 12, 2025 at 11:30 AM : 24.5°C, 17
Feb 12, 2025 at 12:00 PM : 24.6°C, 19
Feb 12, 2025 at 12:30 PM : 24.2°C, 19
Feb 12, 2025 at 1:00 PM : 24.3°C, 19
Feb 12, 2025 at 1:30 PM : 24.2°C, 19
Feb 12, 2025 at 2:00 PM : 24.1°C, 18
Feb 12, 2025 at 2:30 PM : 24°C, 17
Feb 12, 2025 at 3:00 PM : 24°C, 17
Feb 12, 2025 at 3:30 PM : 24°C, 16
Feb 12, 2025 at 4:00 PM : 24.2°C, 16
Feb 12, 2025 at 4:30 PM : 24°C, 16
Feb 12, 2025 at 5:00 PM : 24°C, 16
Feb 12, 2025 at 5:30 PM : 24°C, 16
Feb 12, 2025 at 6:00 PM : 24.1°C, 16
Feb 12, 2025 at 6:30 PM : 24.2°C, 16
Feb 12, 2025 at 7:00 PM : 24.2°C, 16
Feb 12, 2025 at 7:30 PM : 24.1°C, 17
Feb 12, 2025 at 8:00 PM : 24.2°C, 16
Feb 12, 2025 at 8:30 PM : 23.5°C, 17
Feb 12, 2025 at 9:00 PM : 23.5°C, 17
Feb 12, 2025 at 9:30 PM : 23.8°C, 18
Feb 12, 2025 at 10:00 PM : 23.9°C, 17
Feb 12, 2025 at 10:30 PM : 24.3°C, 17
Feb 12, 2025 at 11:00 PM : 24.5°C, 18
Feb 12, 2025 at 11:30 PM : 24.5°C, 19
Feb 13, 2025 at 12:00 AM : 24.6°C, 19
Feb 13, 2025 at 12:30 AM : 24.8°C, 19
Feb 13, 2025 at 1:00 AM : 24.7°C, 19
Feb 13, 2025 at 1:30 AM : 24.7°C, 19
Feb 13, 2025 at 2:00 AM : 24.5°C, 19
Feb 13, 2025 at 2:30 AM : 24.3°C, 20
Feb 13, 2025 at 3:00 AM : 24.2°C, 20
Feb 13, 2025 at 3:30 AM : 24°C, 21
Feb 13, 2025 at 4:00 AM : 23.8°C, 21
Feb 13, 2025 at 4:30 AM : 22.8°C, 22
Feb 13, 2025 at 5:00 AM : 22.3°C, 23
Feb 13, 2025 at 5:30 AM : 22°C, 24
Feb 13, 2025 at 6:00 AM : 21.8°C, 25
Feb 13, 2025 at 6:30 AM : 21.6°C, 25
Feb 13, 2025 at 7:00 AM : 21.5°C, 26
Feb 13, 2025 at 7:30 AM : 21.9°C, 26
Feb 13, 2025 at 8:00 AM : 21.9°C, 27
Feb 13, 2025 at 8:30 AM : 21.8°C, 27
Feb 13, 2025 at 9:00 AM : 22°C, 26
Feb 13, 2025 at 9:30 AM : 22.1°C, 27
Feb 13, 2025 at 10:00 AM : 22.3°C, 27
Feb 13, 2025 at 10:30 AM : 22.3°C, 27
Feb 13, 2025 at 11:00 AM : 22.5°C, 28
Feb 13, 2025 at 11:30 AM : 22.7°C, 28
Feb 13, 2025 at 12:00 PM : 22.9°C, 28
Feb 13, 2025 at 12:30 PM : 22.9°C, 28
Feb 13, 2025 at 1:00 PM : 22.7°C, 28
Feb 13, 2025 at 1:30 PM : 22.8°C, 29
Feb 13, 2025 at 2:00 PM : 22.9°C, 29
Feb 13, 2025 at 2:30 PM : 22.9°C, 28
Feb 13, 2025 at 3:00 PM : 22.9°C, 28
Feb 13, 2025 at 3:30 PM : 22.9°C, 27
Feb 13, 2025 at 4:00 PM : 23.1°C, 27
Feb 13, 2025 at 4:30 PM : 23.1°C, 26
Feb 13, 2025 at 5:00 PM : 23.1°C, 26
Feb 13, 2025 at 5:30 PM : 23.2°C, 26
Feb 13, 2025 at 6:00 PM : 23.2°C, 25
Feb 13, 2025 at 6:30 PM : 23.3°C, 25
Feb 13, 2025 at 7:00 PM : 23.6°C, 25
Feb 13, 2025 at 7:30 PM : 23.6°C, 25
Feb 13, 2025 at 8:00 PM : 23.8°C, 24
Feb 13, 2025 at 8:30 PM : 23.8°C, 23
Feb 13, 2025 at 9:00 PM : 23.3°C, 21
Feb 13, 2025 at 9:30 PM : 23.1°C, 20
Feb 13, 2025 at 10:00 PM : 23°C, 19
Feb 13, 2025 at 10:30 PM : 23°C, 19
Feb 13, 2025 at 11:00 PM : 23°C, 18
Feb 13, 2025 at 11:30 PM : 23°C, 18
Feb 14, 2025 at 12:00 AM : 23.2°C, 18
Feb 14, 2025 at 12:30 AM : 23.4°C, 17
Feb 14, 2025 at 1:00 AM : 23.5°C, 16
Feb 14, 2025 at 1:30 AM : 23.5°C, 16
Feb 14, 2025 at 2:00 AM : 23.4°C, 16
Feb 14, 2025 at 2:30 AM : 23.4°C, 15
Feb 14, 2025 at 3:00 AM : 23.4°C, 15
Feb 14, 2025 at 3:30 AM : 23.2°C, 15
Feb 14, 2025 at 4:00 AM : 23°C, 14
Feb 14, 2025 at 4:30 AM : 22.9°C, 14
Feb 14, 2025 at 5:00 AM : 22.8°C, 13
Feb 14, 2025 at 5:30 AM : 22.7°C, 13
Feb 14, 2025 at 6:00 AM : 22.5°C, 13
Feb 14, 2025 at 6:30 AM : 22.4°C, 12
Feb 14, 2025 at 7:00 AM : 22.3°C, 12
Feb 14, 2025 at 7:30 AM : 22.3°C, 12
Feb 14, 2025 at 8:00 AM : 22.3°C, 12
Feb 14, 2025 at 8:30 AM : 22.3°C, 12
Feb 14, 2025 at 9:00 AM : 21.9°C, 11
Feb 14, 2025 at 9:30 AM : 21.6°C, 11
Feb 14, 2025 at 10:00 AM : 21.3°C, 11
